ID	gene	count
Coronavirus infectious disease	GZMB	7
Coronavirus infectious disease	IFNG	7
Coronavirus infectious disease	IL2RB	7
T cell deficiency	BCL11B	3
T cell deficiency	CD247	3
T cell deficiency	ZAP70	3
tuberculosis	ADA	8
tuberculosis	CCL5	8
tuberculosis	CCR5	8
tuberculosis	CD247	8
tuberculosis	FASLG	8
tuberculosis	GZMA	8
tuberculosis	IFNG	8
tuberculosis	KLRK1	8
asthma	ADA	10
asthma	CCL5	10
asthma	CCR5	10
asthma	IFNG	10
asthma	IL2RB	10
asthma	ITK	10
asthma	RUNX3	10
asthma	STAT4	10
asthma	TBX21	10
asthma	XCL1	10
bronchial disease	ADA	10
bronchial disease	CCL5	10
bronchial disease	CCR5	10
bronchial disease	IFNG	10
bronchial disease	IL2RB	10
bronchial disease	ITK	10
bronchial disease	RUNX3	10
bronchial disease	STAT4	10
bronchial disease	TBX21	10
bronchial disease	XCL1	10
leukocyte disease	BIRC3	6
leukocyte disease	CCL5	6
leukocyte disease	CD8A	6
leukocyte disease	IFNG	6
leukocyte disease	LEF1	6
leukocyte disease	XCL1	6
autoimmune disease of endocrine system	CCL5	6
autoimmune disease of endocrine system	CCR5	6
autoimmune disease of endocrine system	CXCR6	6
autoimmune disease of endocrine system	FASLG	6
autoimmune disease of endocrine system	IFNG	6
autoimmune disease of endocrine system	ST6GAL1	6
parasitic protozoa infectious disease	ADA	7
parasitic protozoa infectious disease	CCL5	7
parasitic protozoa infectious disease	CCR5	7
parasitic protozoa infectious disease	FASLG	7
parasitic protozoa infectious disease	IFNG	7
parasitic protozoa infectious disease	IL2RB	7
parasitic protozoa infectious disease	TBX21	7
COVID-19	CCL5	5
COVID-19	CD8A	5
COVID-19	GZMB	5
COVID-19	IFNG	5
COVID-19	IL2RB	5
acquired immunodeficiency syndrome	CCL5	5
acquired immunodeficiency syndrome	CCR5	5
acquired immunodeficiency syndrome	CXCR6	5
acquired immunodeficiency syndrome	FASLG	5
acquired immunodeficiency syndrome	IFNG	5
influenza	CCL5	5
influenza	CD244	5
influenza	CD8A	5
influenza	IFITM1	5
influenza	IFNG	5
acute leukemia	CD96	7
acute leukemia	IFNG	7
acute leukemia	JAK3	7
acute leukemia	LEF1	7
acute leukemia	P2RY8	7
acute leukemia	RUNX3	7
acute leukemia	ST6GAL1	7
