gene	logFC
LONRF3	-0.518013132
ABHD1	-0.976002643
IFI44L	-0.950740633
TNFAIP2	-0.590765318
CNNM4	-0.541401902
IFIT3	-0.671003134
RFPL4A	-1.246216387
DNAJB5	0.645482439
FAM20A	1.139169019
IFIT2	-0.546092052
C10orf116	1.260359828
IQCA1	-1.181177519
CNIH3	1.294825009
ZNF233	-0.839099389
PTK2	-0.647148746
ANKRD58	-0.433578419
SH2D3C	-0.556408144
HES4	1.066345291
DDX60	-0.678250103
ARHGEF18	-0.419679428
ITGAL	-0.507175219
FCHO1	-0.496810482
DIRAS1	1.293519095
GRIN3B	-1.103576942
RAB11FIP1	-0.461655126
MALL	1.378741959
CD86	1.445568264
HIST1H3B	1.074430838
LOC91450	-1.008047495
DNAH5	-1.223340183
PAPSS2	0.778135191
FAIM	0.540928051
EPB41L4A	-1.019040388
ERN2	-1.030206555
IER3	1.123030419
PPAP2A	-0.508437686
ZRANB2	-0.614228403
HDC	1.323437941
SLC37A2	0.602801695
TM4SF1	1.595946964
TMEM141	0.326155812
CTSF	-0.56789633
GPR179	1.907593037
C7orf29	-0.689263675
XAF1	-0.710034538
KRT79	1.370023545
RFPL2	-0.811542944
ADC	-0.883424309
GAL3ST4	1.059374332
WWC2	-0.845987043
NT5DC2	1.492977822
STARD10	-0.66342514
COX11	-0.435579095
HIST1H3F	0.782112547
PLGLB1	-0.848910082
RSPH1	-1.506578677
COLEC10	-0.4113265
PLEKHM1	-0.449956731
C20orf46	-1.084547232
AXL	-0.664825498
CCL13	1.369300298
TC2N	-1.216368685
LOC728537	-0.956654099
RAB32	0.453297017
ZNF485	-0.704701065
CXCR5	-0.901294911
NOD2	-0.555904909
CCNB2	0.698113276
TMCC1	-0.420812077
ENHO	1.073499895
NET1	-0.651168818
FAM156A	-0.608042697
NPHP1	-0.949316896
CRTC2	-0.357095102
RIPK1	-0.372911735
MAN2A2	-0.531246938
ZNF234	-0.508387011
LEF1	-1.688291388
PTGER3	-1.760264526
NMT1	-0.385454827
LGMN	1.228549981
GABARAPL1	-0.420653266
FAM53A	-0.761117361
EPHB2	0.760350059
MIIP	-0.397077017
BMPR1A	-0.798500365
C11orf35	-0.641629013
ZNF571	-0.787275402
ITGA7	0.605948397
PION	-0.553600773
TRIM22	-0.443528841
FADS1	0.631311605
CXCL5	1.122088374
RSPH3	-0.451109513
SNX1	-0.555317511
HM13	0.530891636
CHRM2	-1.14190554
LOC100131089	-1.058643474
PLEKHA6	-1.176908722
CBR3	0.692443935
APOL2	-0.386185382
HIST1H3I	0.53968238
TMEM97	0.630094801
FAM195A	0.37648227
ZMIZ2	-0.547264441
LIMA1	-0.634520855
NKX3-1	-0.757409558
RAB11FIP5	-0.750228507
MAP4K1	-0.796894599
CD80	-0.76273323
FDPS	0.382289863
N4BP2L2	-0.522537217
KCNG1	1.139457165
SLC9A1	-0.735020257
C9orf30-TMEFF1	-1.216243632
SUSD3	-0.569246077
LARP6	-1.052497531
TM4SF19	1.183603416
CTAGE4	-0.44706948
FAM198B	1.072562466
IL1R2	1.83231874
CDC42EP3	-1.045167818
ARHGEF5	-0.79630396
ZNF439	-0.809412588
CAPS2	-1.053772961
ZNF862	-0.620773236
SEPT3	-0.943955791
ZNF444	-0.360011447
PALLD	0.858024107
BEX5	-1.241804959
KLF12	-1.168601614
SEPT4	-1.049412502
LOC285095	0.695666509
VPS37C	-0.535685671
ITGAM	0.631137515
ITGB8	-1.031258195
DNAJB2	-0.362614613
MTMR1	-0.391625045
C21orf71	-0.424764918
EEPD1	0.906234948
LOC100129534	-0.65775019
TAAR6	-0.689083863
KLF1	0.638975881
STX12	-0.509602804
EFHB	-0.693009439
FAM134B	-0.621016106
FAM110A	-0.455313629
LOC100130232	-0.835804255
F11R	-0.476163787
KIAA0226	-0.40254411
GLCE	-0.792710157
DIRC3	1.071996084
HIST1H2AC	0.822955956
PECR	-0.611195005
C7orf58	-1.15179302
H2AFB3	-0.729698216
THAP9	-0.907626241
SHC2	0.905347225
S1PR2	0.522083877
TNS1	0.653310696
LOC400891	-1.189564636
TK1	0.580186931
ZNF671	-0.357698201
CLPB	0.337611187
SLC6A7	-0.680135702
PROM2	1.674061748
CBR4	-0.52076031
KAT2A	-0.58914242
HIST1H4C	0.62329385
GBP4	-0.552645824
REPIN1	-0.500240276
CEACAM16	0.975629164
LOC100652822	-0.47165982
DCLK2	0.929105809
KAZALD1	-0.909608121
STOM	-0.45926045
LAMB1	-1.284616684
FLJ42351	-0.871145223
HIST1H4B	0.774133401
HAB1	0.821317206
USP6NL	-0.869350811
SEPT10	-0.541890457
POLR3H	-0.312454061
ALDH2	-0.613479427
CCDC88B	-0.518047571
HK2	-0.439469974
TRIM65	-0.44224453
AMDHD2	0.449680055
ECHDC1	-0.540226209
DOPEY1	-0.534229435
S100A12	1.866667198
ART5	0.871111509
SPAG17	-0.954777816
TMEM120A	0.452388876
TMEM200A	-1.438950484
NPEPL1	-0.40483827
MPZL2	-0.648078451
GNB5	-0.864083772
MYO7B	-1.016228778
SLAMF9	0.776856285
CD19	-0.819193315
MGC14436	1.015762453
PKMYT1	0.658086611
SLC12A7	-0.518186173
TCF7	-0.982449801
BST1	-0.48122212
KLF8	-0.609321927
TRIO	-0.488290058
XYLT2	-0.369379358
LOC644554	-0.660149709
E2F2	0.6185223
ZMYND15	-0.504935713
HIST1H2BB	0.597868068
MT1B	0.644162547
PDLIM7	0.520847869
LOC100131289	-1.079727323
SERPINI2	-1.010107616
SLC7A2	-1.096253886
HIST2H3A	1.488572933
KLHL29	-0.777501438
MKI67	0.713703807
PPA1	-0.383918046
CHMP4C	-0.892737207
MARC1	0.96837009
YY1AP1	-0.334432334
GATAD1	-0.457455634
PRB2	-0.896050273
SLTM	-0.622971227
OLFML2B	0.848309794
EPM2AIP1	-1.043779068
HJURP	0.721164278
SORD	-0.53456269
GALNT6	-0.368970407
LCTL	-0.708941063
PHF19	0.536069472
PARP8	-0.600645898
MBD1	-0.367785424
CNTD2	0.895202382
TANC2	-0.623678311
NCOA1	-0.447995999
DCUN1D4	-0.677897003
PAG1	-0.583674038
BCAT1	0.72993551
GAA	-0.568435544
SEPT14	-0.449608585
ZFP37	-0.583967592
KLHL18	-0.357561453
TSEN2	-0.53588172
RPA4	1.528906681
LSG1	-0.377854099
BDH2	-0.892820088
FCGR3A	-0.476487234
DNAJA4	-0.41344338
SPINK2	-0.69932571
AQP4	1.854709416
PPWD1	-0.540427191
GCNT1	-0.634027059
ME1	-0.842583517
LRG1	1.10405055
CXCL14	1.512531232
C14orf45	-0.915536009
DACH1	1.53912103
WDFY4	-0.395771319
DAPP1	-0.458392652
SLC2A6	-0.609477756
TPTE	-0.918577524
MAD2L2	0.333365231
KRTAP4-11	1.017691384
TPST1	1.683720005
CRELD2	0.373003739
NOS2	-0.983095469
FGF20	-0.642200867
NRAP	1.564080888
KIT	1.22348691
SIDT2	-0.434195815
DMD	-1.424030301
TPBG	-1.037312205
LY6E	-0.709974931
C1orf38	-0.451773607
EPO	1.120095382
IBSP	1.332309531
ZNF227	-0.668382711
CCL24	0.555338043
ITPR1	-0.50507148
IFT81	-1.041508272
BUB1B	0.684585737
ASPHD1	1.250688558
ZNF567	-0.700231895
MKL2	-0.495804352
CCDC111	-0.690275606
C17orf108	-0.516647266
HIST1H3H	0.746497483
PTPN1	-0.3517216
TRIM38	-0.517077449
SPAG5	0.540310688
TYMS	0.579341797
MT1X	0.584855738
ENPP5	-1.066116161
C14orf43	-0.456862987
CD37	-0.598270475
ATP9A	1.134290623
HIRA	-0.53016758
MAPK13	0.472844141
LOC728392	-0.620546131
CMPK2	-0.523639765
ZFYVE26	-0.394881325
RNF111	-0.417817435
DOCK11	-0.505674802
BLOC1S3	-0.364620528
HIST1H3D	0.714732285
ITIH4	-0.71561087
TMEM67	-0.86405309
AHSA2	-0.645142544
JAG2	-0.983999695
CYSLTR2	-0.732118196
GPT	1.233192604
KRT14	1.254643321
SH2B2	-0.593678705
EGFL8	-0.86479808
LEPROTL1	-0.382409849
RNF130	-0.365886974
CCDC91	-0.507124785
LEPREL1	0.920287688
CRTAP	-0.790461491
VPS13B	-0.581824562
SNAI2	-0.95043117
C8orf83	-0.664176436
LOC644277	0.788235649
KLK11	-1.105263974
DLGAP3	0.747496324
LOC644189	-0.466539378
PDE4A	-0.45943612
CAMTA1	-0.883358745
KIAA0101	0.664894614
OSM	0.851591413
OVGP1	-0.667337269
IFFO1	-0.42898736
NT5C3	-0.510317522
PLEK2	0.763973068
ARHGEF15	0.967613328
C1orf213	-0.864770215
PQLC3	-0.321713086
HLA-L	-0.85619858
TINF2	-0.277920939
LOC400927	-0.691064901
LOC221442	-0.902485257
ZNF148	-0.628586748
PPP1R14B	0.440307838
SP140	-0.577323039
CMPK1	-0.49832906
SPTB	0.996720708
VPS13C	-0.595982835
OGT	-0.466526708
ENPP4	-0.550911221
SLC16A8	0.936109707
PRSS2	0.829506807
MRVI1	1.405817354
SP110	-0.317473643
FAM162A	-0.411648147
ADAMTSL4	-0.580521528
EHF	-1.030867377
C15orf2	-0.766350402
KDM4C	-0.390726738
MYO7A	0.977461353
ZNF91	-0.893764059
ZNF239	-0.883563772
KCNA3	-0.671405607
TPX2	0.64917887
SLC40A1	1.217784722
ACADSB	-0.629504116
HRASLS	-0.981259095
CCDC14	-0.623471719
TBC1D4	-0.644772211
SELM	-0.671475214
GGTLC1	0.716144249
PDGFA	0.978003226
ANK3	-1.060201136
ZMAT3	-1.105842578
TRIM7	0.877132401
PCNP	-0.401184663
GRB10	0.726616645
TTPAL	-0.363084844
AZI1	-0.416936435
PRKAR1B	1.181008365
ASAH1	-0.478695643
PTCD1	-0.317272878
SLC30A2	0.700751234
SIGLEC1	-0.745287466
EHD2	1.445458798
SLA	-0.366859748
C3orf62	-0.705455063
ZFYVE27	-0.375466635
DEFA3	1.915762897
GTSE1	0.772740398
PTPN12	-0.42778821
USP4	-0.324230783
STEAP4	1.313512528
KDSR	-0.434932538
ZSCAN18	-0.565672874
CORO2A	-0.474230768
ACOX1	-0.405692445
CARD17	-0.471793991
BASP1	0.841403744
C1orf194	-1.392538231
ACSS3	-1.181524626
TTLL12	0.526760098
CGGBP1	-0.492722293
C5orf62	0.711802949
LRRC56	-0.89485249
TMED7-TICAM2	0.813792585
PNPLA4	-0.885532237
NUDT8	0.545725454
MCM2	0.431592791
GLTSCR2	-0.400113329
BLOC1S2	-0.470310357
ALPK1	-0.490042247
KCTD15	0.903654039
SLC24A3	1.067545555
SLFN13	-0.863807347
TNFRSF12A	0.573635714
SFN	1.085557199
MEF2C	0.754959519
DISC1	-0.541462921
MLL2	-0.40929666
FAM78B	-0.683325477
SHISA5	-0.383791981
DNAI2	-1.538055698
TMEM123	-0.521826178
TMEM42	-0.344843016
LYSMD2	-0.346055262
CD40LG	-1.715431512
ZNF766	-0.496037076
SPTLC3	1.03133588
HS3ST2	1.721396324
LGALS3BP	-0.59438564
CDK5RAP1	-0.345302941
MUC1	1.026719397
HMGN3	-0.310508428
MAPRE3	-0.902231014
SNAPC4	-0.444387551
C9orf89	0.402546698
PARP9	-0.400078411
AMICA1	-0.472390254
LOC100129502	-0.804228943
RDH5	-0.708770147
PROS1	-0.589796158
ARHGEF10L	-0.422315596
AGBL2	-0.903135224
LOC285965	-0.60720852
BPHL	-0.40997561
LYPLAL1	-0.543659694
GPR182	1.708714261
SLC38A10	-0.37796609
LOC100128714	0.685553798
FAM70A	-1.109757959
ZNF471	-0.743725991
VMA21	0.340656012
TNFRSF25	-1.287602747
WDR45L	-0.342088174
FLJ40852	-0.654499445
JRK	0.763650113
HTT	-0.393682339
EPN1	-0.498091409
ASF1B	0.542493085
DLEC1	-1.063378935
SEPT11	-0.546675084
MMD	-0.431518735
CTSE	0.810029457
TMEM175	-0.420139959
HAMP	1.150247029
TMEM131	-0.489002557
IQCF2	-0.73875616
PPP1R2	-0.374443017
MAP4K5	-0.48898581
PTPN3	-0.799919882
CDCA2	0.589815886
ANKS1A	-0.395888836
C17orf76	-0.704816279
OPTN	-0.521454233
IGFL1	0.730893495
DYSF	0.995471389
SLC15A3	-0.459737439
STAT2	-0.431004147
LSM6	-0.376530548
DUSP6	0.574159587
HIST1H2AB	0.699827587
VPS41	-0.55103339
ZNF841	-0.534025152
SNRNP25	0.413715093
IGF1	-1.384074207
PRSS8	1.317990364
ANKHD1-EIF4EBP3	-0.361756619
C1orf111	1.059620159
FAM115A	-0.557612698
SQLE	0.583985654
AANAT	1.596596722
BIRC3	-0.872027555
D4S234E	-0.976356791
SPG20	-0.696431028
CBX7	-0.508939058
GBP1	-0.636747893
SLC24A4	-0.729521475
UBE2S	0.379180937
AHNAK2	0.842873714
FAM183A	-1.448750429
C21orf59	-0.281976636
SFXN4	0.326710137
UNC5B	-0.826035984
PPP1R3G	0.74670107
ERICH1	-0.341939968
PPP1R14C	0.993473069
FTO	-0.59879821
BICD2	-0.313753409
KIAA0195	-0.570613228
CLCN4	-0.698588928
PTTG2	0.484171181
CAT	-0.527644869
N6AMT1	-0.555768577
PRKAA1	-0.678033379
CCNB3	-0.683060721
CCL26	1.350702181
GTDC1	-0.433712283
UBQLNL	-0.592920977
LOC728218	-0.926120959
HEATR5B	-0.499091391
DENND4B	-0.409904041
SFTPD	1.101112749
VPS25	0.32679281
CASS4	0.686741502
IRF9	-0.361386134
CECR6	0.918722255
METTL1	0.414310468
ROR2	0.64399028
FAM3B	-1.020274022
MLLT1	-0.366772044
HRK	1.084692466
ZNF391	-0.537318388
ZC3H7A	-0.343268525
MANEAL	0.576378599
CRYBB1	0.912368695
TNFSF10	-0.629270743
KLF13	-0.405901048
LOC284513	-0.821615887
RGL3	-0.91832626
TBX19	-0.57947021
GDE1	-0.337342372
MDGA1	0.928065835
SIRPG	-0.615067997
PCDHB15	-0.650405273
CDCA5	0.544739897
KCNMB1	0.466000862
BTN3A1	-0.428830088
GAS6	0.99164481
DGKQ	-0.4444564
MGAT1	0.490050912
KDM5A	-0.60022524
COQ5	0.47183435
DST	-0.638950314
CDC20	0.732846344
PLEKHA2	-0.367481347
MT1H	0.58450763
NME1	0.274553098
REEP5	-0.41337309
GMPR2	-0.320285251
TMEM201	0.742119514
TFIP11	-0.281739904
LEAP2	-0.833465072
GPR84	0.853433672
ZDHHC23	-0.713911605
JMJD7-PLA2G4B	-0.570782281
MUC21	1.009800935
SNTN	-1.094220447
TOMM20L	0.955407838
LIN28B	-0.599204141
CTNNAL1	0.63354094
LOC401320	-0.778234628
KIF21A	-0.573993503
B2M	-0.502049914
ACSF2	-0.510108952
PLBD1	-0.453150494
GBP3	-0.849496461
SLC7A9	-0.671488259
FLJ44124	-0.790547848
FAM57A	0.779413308
LOC100129617	-0.691242248
POLK	-0.617953185
TTLL10	-0.662708451
MZF1	-0.446744131
HIST1H2AD	0.594992249
MARCKS	0.866711569
NOV	0.973470204
TRIM4	-0.362232826
GGT5	0.974564387
CYP2S1	0.674998415
CACNA2D1	0.881088932
YEATS2	-0.434598797
GANC	-0.514811728
TAP2	-0.499530219
CYP4F8	1.064669136
PECAM1	-0.352793705
TEX14	-0.756264167
TCERG1L	0.974508239
SLC25A16	-0.561133922
BAIAP2	0.60177346
CPVL	-0.405606569
C5orf15	-0.315221039
CYP27A1	-0.445314732
COX7B	0.30361525
CCNE1	0.372883276
UNC5CL	-0.687065449
ABCG1	-0.562190343
DNAJC1	0.289329439
TIMM8B	0.343784449
DENND5A	-0.360241405
ANAPC4	-0.389381348
CABLES1	-0.567922627
IDO2	-0.745265248
S1PR3	1.0297849
OSBPL1A	-0.409316001
PEX19	-0.395015566
GATA3	-0.944476813
TRUB2	0.326293017
ZNF100	-0.686136197
KCNB2	0.516628863
C20orf202	-0.89175891
C14orf70	0.636275447
GSTA5	-1.437045869
C9orf47	0.921182866
LOC650293	-0.894820803
CLC	1.440587974
MTERFD3	-0.626669776
C17orf90	-0.283464278
ADK	0.423845451
C8orf12	0.970746435
MS4A2	1.193853366
FAR1	-0.492752251
FAM82A2	-0.42319593
TSPAN18	-0.720120872
TRIM14	-0.414299036
ZNF415	-0.778005963
ZNF334	-0.853700332
KAL1	-0.694300492
PNMA1	-0.335226798
CD274	-0.730738647
ZNF528	-0.868822784
LOC100130480	0.987894768
BAMBI	-0.679043628
HLCS	-0.473170469
CCR7	-0.885927848
F12	-0.595269247
C2CD2	-0.633802924
AGRP	-0.725981506
ACPP	0.804165103
MAL	-1.004531675
NEU4	0.849709753
DHRS12	-0.385635549
5-Mar	-0.610848628
CD6	-0.945181718
ECE2	0.350663468
PI3	1.440029794
SEZ6L2	0.888210065
RBM17	-0.439779056
SNORA46	-0.44479226
LOC401176	0.695371583
DKFZp686M1136	-0.718293468
FAM183B	-1.022073768
PKD2	-0.542501332
RIC8B	-0.80274694
AACS	0.398944325
P2RX3	0.67711798
ATN1	-0.826009406
BTBD9	-0.337625251
LOC100126584	-0.495187854
CCDC84	-0.483362402
MTMR10	-0.343997815
RABEP2	-0.299399397
OASL	-0.521945135
CEACAM7	1.10856903
ZC3H11A	-0.408829757
LUC7L3	-0.467171026
EFNB2	0.718010593
ZC3H6	-0.548821161
ADD3	-0.53199947
LOC338817	-0.701689757
BREA2	-0.720072707
HIST1H1C	0.576391158
KLHL6	-0.344386166
RAB3GAP1	-0.368823863
PRRT2	-0.734952984
MXD3	0.393565989
HCRP1	0.766548132
WDR92	-0.336904712
PKIA	-0.556921708
LOC645427	0.936678418
C14orf162	1.220254705
NF2	-0.346956841
AKR1C1	-0.861081673
OSBPL11	-0.404970271
SLC12A2	-0.534250279
PAR-SN	-0.82141288
STK3	-0.460955921
AQP2	1.093903681
VDR	0.385835453
RASGRP2	-0.48672767
DNALI1	-0.817522634
SYNE2	-1.15684756
NAV1	-0.550435775
TRAF3IP1	-0.455175824
ELF4	-0.357683447
WDR35	-0.679744092
NUP54	-0.568400586
SLC6A6	-0.366856339
SUSD1	-0.433671343
LOC100129726	0.627682284
IFIT1	-0.546723711
UPB1	0.786658184
LOC284837	-0.539407369
MT1L	0.516223267
PIM1	0.456323626
BTN2A2	-0.391683244
GPC3	0.974799422
LOC283050	1.073702534
ST3GAL2	-0.402211133
GPR34	0.623751064
ALOX5	-0.547917964
RGPD5	-0.498823485
LIAS	-0.490213432
LOC440944	-0.742492205
ACSM5	0.735052224
NUFIP2	-0.474350921
ANK1	-0.794069748
CYR61	1.198053732
LOC728147	-0.81435779
SH3PXD2A	-0.465045062
MED17	-0.44745698
LPAL2	0.683697164
HLA-DOA	-0.464245231
PHOSPHO1	0.549971655
NDN	-1.036303632
FBXL16	-1.075971811
BNIP2	-0.407260851
GPR124	-0.85771721
ZNF573	-0.440164331
KLHL12	-0.34307387
SLC41A1	-0.786631666
IL13RA1	-0.359236843
IFT140	-0.578787187
PSME2	-0.367706282
PCNA	0.274529187
MSRA	-0.385552355
SCML1	-0.715650845
LILRB1	-0.308720415
KIAA0408	-1.143601984
LOC729040	1.569995345
CYFIP2	-0.663335148
PCDHB13	0.702459323
LIMS1	0.437334797
TRAPPC10	-0.370112653
TMEM81	-0.690144024
G3BP2	-0.321408831
APPBP2	-0.596433566
ACVR2B	-0.747619871
C2orf69	-0.462705147
TNNT1	-0.975848813
HIST1H2BO	0.49289698
DOCK8	-0.348154949
HTR1F	-0.785830325
TRAPPC2L	0.320461094
EFCAB6	-0.507430709
KIF16B	-0.50302888
PLA2R1	-0.464450669
GRIK3	0.791988456
ACTL9	0.776130305
ANGEL1	-0.556183833
SPATA13	-0.51291601
CD5	-0.92213176
SRFBP1	-0.441509224
MELK	0.554633396
XCL1	-1.275063182
TAAR2	1.133859766
C1orf220	-0.680201877
SLC10A1	0.922066848
TMEM130	-0.99635238
MYBPH	0.843370668
SEMA6B	0.777202759
IFIT5	-0.411140453
SATB2	-0.807902561
FAM71A	0.711031895
RASD2	0.891860582
NEK8	-0.738395194
C19orf6	-0.396437447
MGAT3	-0.842399312
