ID	Subtype
GPL17077_GSM1820856_treat	A
GPL17077_GSM1820857_treat	A
GPL17077_GSM1820858_treat	A
GPL17077_GSM1820859_treat	B
GPL17077_GSM1820860_treat	B
GPL17077_GSM1820861_treat	A
GPL17077_GSM1820862_treat	B
GPL17077_GSM1820863_treat	B
GPL17077_GSM1820864_treat	A
GPL17077_GSM1820865_treat	B
GPL17077_GSM1820866_treat	B
GPL17077_GSM1820867_treat	B
GPL17077_GSM1820868_treat	B
GPL17077_GSM1820869_treat	B
GPL17077_GSM1820870_treat	A
GPL17077_GSM1820871_treat	B
GPL17077_GSM1820872_treat	B
GPL17077_GSM1820873_treat	A
GPL17077_GSM1820874_treat	B
GPL17077_GSM1820875_treat	A
GPL17077_GSM1820876_treat	B
GPL17077_GSM1820877_treat	A
GPL17077_GSM1820878_treat	B
GPL17077_GSM1820879_treat	B
GPL17077_GSM1820880_treat	B
GPL17077_GSM1820881_treat	B
GPL17077_GSM1820882_treat	A
GPL17077_GSM1820883_treat	A
GPL17077_GSM1820884_treat	B
GPL17077_GSM1820885_treat	B
GPL17077_GSM1820886_treat	B
GPL17077_GSM1820887_treat	A
GPL17077_GSM1820888_treat	B
GPL17077_GSM1820889_treat	B
GPL17077_GSM1820890_treat	B
GPL17077_GSM1820891_treat	A
GPL17077_GSM1820892_treat	B
GPL17077_GSM1820893_treat	B
GPL17077_GSM1820894_treat	A
GPL17077_GSM1820895_treat	B
GPL17077_GSM1820896_treat	A
GPL17077_GSM1820897_treat	A
GPL17077_GSM1820898_treat	A
GPL17077_GSM1820899_treat	B
GPL17077_GSM1820900_treat	B
GPL17077_GSM1820901_treat	B
GPL17077_GSM1820902_treat	A
GPL17077_GSM1820903_treat	B
GPL17077_GSM1820904_treat	B
GPL17077_GSM1820905_treat	A
GPL17077_GSM1820906_treat	A
GPL17077_GSM1820907_treat	B
GPL17077_GSM1820908_treat	B
GPL17077_GSM1820909_treat	B
GPL17077_GSM1820910_treat	B
GPL17077_GSM1820911_treat	A
GPL17077_GSM1820912_treat	A
GPL17077_GSM1820913_treat	A
GPL17077_GSM1820914_treat	B
